#Data for Steglitz-Schildhornstr., Berlin from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:24]
#Station is located at latitude 52.463611, longitude 13.31825
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Berlin Air Quality - (Luftqualität in Berlin)  http://www.stadtentwicklung.berlin.de/umwelt/luftqualitaet/
#Attribution: European Environment Agency  http://www.eea.europa.eu/themes/air/
date,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2019-12-15,9.3,5,38,22.2,9,39,0.3,0.2,0.4
2019-12-13,27.7,22,31,48.9,32,64,0.4,0.3,0.6
2019-12-12,21,16,30,48.5,19,71,0.5,0.2,0.7
2019-12-11,18.3,12,23,48.4,12,87,0.4,0.2,0.7
2019-12-10,16,11,23,47.1,7,99,0.4,0.2,0.9
2019-12-09,9.4,7,13,43.2,9,82,0.3,0.2,0.6
2019-12-08,8.8,6,17,18.4,10,29,0.2,0.2,0.3
2019-12-07,9.3,7,15,20,11,26,0.3,0.2,0.4
2019-12-06,26.9,16,36,46.7,30,65,0.4,0.3,0.6
2019-12-05,30.8,22,40,53,32,75,0.5,0.3,0.8
2019-12-04,23.4,14,35,48.3,14,89,0.5,0.2,0.9
2019-12-03,16.3,9,22,49.9,14,85,0.4,0.2,0.8
2019-12-02,16.9,9,29,34.3,12,55,0.3,0.2,0.5
2019-12-01,27.7,17,33,32.1,17,42,0.4,0.3,0.5
2019-11-30,13.9,9,22,37.1,17,59,0.4,0.2,0.6
2019-11-29,9.2,6,14,25.5,6,41,0.3,0.2,0.4
2019-11-28,8.5,6,13,30.9,13,53,0.3,0.2,0.4
