#Data for Habichtstraße, Hamburg from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:25]
#Station is located at latitude 53.59235000, longitude 10.05372400
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Hamburger air monitoring network - (Hamburger Luftmessnetz – FHH)  http://luft.hamburg.de/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2019-12-15,5.4,4,9,9.8,9,12,22.8,12,38,0.2,0.1,0.4
2019-12-14,18.6,12,22,22.3,17,25,38.2,17,56,0.3,0.3,0.5
2019-12-13,13.2,11,17,18,15,25,38.7,16,56,0.4,0.2,0.5
2019-12-12,13.4,7,16,24.1,15,28,54.4,32,76,0.4,0.3,0.7
2019-12-11,5,5,6,17.9,13,22,54.1,12,78,0.3,0.1,0.6
2019-12-10,3.7,3,5,18.5,14,22,59.7,13,107,0.4,0.1,0.7
2019-12-09,2.7,2,4,10.8,9,14,48,15,93,0.3,0.1,0.6
2019-12-08,3,3,3,9,9,10,23.3,13,37,0.2,0.1,0.3
2019-12-07,5.5,4,11,10.2,8,16,27.6,13,42,0.2,0.1,0.3
2019-12-06,22.5,13,27,31.1,20,38,45.4,27,60,0.4,0.3,0.5
2019-12-05,24.5,21,30,"-","-","-",57.5,33,90,0.6,0.4,1.2
2019-12-04,27.7,24,31,30.3,21,37,52.4,24,77,0.5,0.1,0.7
2019-12-03,"-","-","-",14.7,10,19,48.8,29,88,0.3,0.1,0.8
2019-12-02,23.1,18,26,26,14,36,57,28,95,0.4,0.3,0.7
2019-12-01,14.3,5,24,24.7,14,34,53.6,41,72,0.5,0.3,1.1
2019-11-30,3.2,3,4,14,13,15,54,28,82,0.4,0.1,0.7
2019-11-29,2.5,2,3,9.7,8,12,44.8,11,91,0.3,0.1,0.9
2019-11-28,6.3,3,10,11.5,8,16,42.5,11,85,0.3,0.1,0.6
2019-11-27,12.7,11,15,19.4,17,24,39.6,24,53,0.4,0.3,0.7
2019-11-26,21.8,17,26,35.1,29,40,36.4,16,56,0.5,0.3,0.8
2019-11-25,26.5,26,27,37,35,39,30.6,12,47,0.4,0.3,0.6
2019-11-24,24.6,22,27,29.6,26,34,15.7,10,26,0.3,0.3,0.4
2019-11-23,20,17,21,25.3,24,26,14.8,12,19,0.3,0.2,0.4
2019-11-22,15.7,13,17,27.5,25,30,34.8,21,44,0.5,0.3,0.9
2019-11-21,12.3,10,16,22.2,18,28,33,22,56,0.3,0.2,0.5
2019-11-20,14.9,7,19,28,17,33,54.9,23,71,0.4,0.1,0.6
2019-11-19,8,2,17,15.3,8,26,43.9,16,69,0.4,0.3,0.5
2019-11-18,18,15,20,24.5,19,29,36.3,10,60,0.4,0.1,0.8
2019-11-17,13.6,12,15,18.5,17,21,27,13,37,0.3,0.1,0.5
2019-11-16,20.4,17,22,27.9,24,30,34.3,19,51,0.4,0.3,0.6
2019-11-15,17.8,14,21,25.1,22,28,19.1,8,29,0.2,0.2,0.4
2019-11-14,15.5,11,17,24.5,21,26,41.3,22,60,0.4,0.2,0.7
2019-11-13,3.7,2,8,12.4,10,18,48.8,21,64,0.3,0.1,0.6
2019-11-12,11,6,15,18.2,13,23,44,23,84,0.3,0.2,0.5
2019-11-11,15.2,14,16,22.2,21,24,39.7,23,62,0.4,0.3,0.7
2019-11-10,18.6,15,20,28.9,22,32,42.6,26,69,0.4,0.3,0.6
2019-11-09,15.1,11,20,25.5,19,31,47.7,22,76,0.6,0.5,1.2
2019-11-08,10.1,9,11,17.5,16,20,52.1,24,71,0.5,0.1,0.9
2019-11-07,8.2,6,11,16.8,12,21,38,27,58,0.3,0.2,0.6
2019-11-06,5.2,2,9,10.3,6,17,40,9,63,0.3,0.1,0.6
2019-11-05,12.9,11,15,23,20,26,38.4,12,74,0.5,0.1,1.2
2019-11-04,8.2,3,12,15,9,20,48.5,11,76,0.4,0.1,0.8
2019-11-03,4,3,6,8.5,8,10,39,26,63,0.3,0.1,0.6
2019-11-02,17.3,7,26,24,11,36,42.2,16,77,0.4,0.3,0.5
2019-11-01,21.6,17,27,29.8,25,36,42.5,27,56,0.4,0.2,0.5
2019-10-31,20.5,17,23,33,30,35,48.7,35,79,0.6,0.3,1
2019-10-30,10.9,10,15,19.7,17,26,66.3,38,97,0.7,0.3,1.5
2019-10-29,6.7,5,8,14.2,13,15,47.8,15,99,0.4,0.1,1
2019-10-28,2.8,2,4,13.7,13,14,52.4,9,78,0.3,0.1,0.5
2019-10-27,3.3,3,4,10.4,9,12,20.5,6,40,0.2,0.1,0.4
