#Data for Pavia Folperti, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.19468231, longitude 9.16464919
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max
2019-10-16,4,4,4,8,8,8,76,76,76,57,57,57,8,8,8
2019-10-15,21,21,21,33,33,33,54,54,54,34,34,34,1,1,1
2019-10-14,37,37,37,44,44,44,43,43,43,41,41,41,"-","-","-"
2019-10-13,"-","-","-","-","-","-",20,20,20,"-","-","-","-","-","-"
2019-10-12,"-","-","-","-","-","-",86,86,86,42,42,42,3,3,3
2019-10-11,27,27,27,37,37,37,69,69,69,60,60,60,2,2,2
2019-10-10,26,26,26,35,35,35,61,61,61,46,46,46,6,6,6
2019-10-09,32,32,32,37,37,37,35,35,35,37,37,37,1,1,1
2019-10-08,16,16,16,26,26,26,66,66,66,41,41,41,2,2,2
2019-10-07,"-","-","-",10,10,10,73,73,73,27,27,27,20,20,20
2019-10-05,"-","-","-","-","-","-",93,93,93,58,58,58,14,14,14
2019-10-04,17,17,17,26,26,26,46,46,46,46,46,46,3,3,3
2019-10-03,6,6,6,8,8,8,78,78,78,37,37,37,3,3,3
2019-10-02,9,9,9,15,15,15,91,91,91,68,68,68,3,3,3
2019-10-01,13,13,13,22,22,22,88,88,88,60,60,60,6,6,6
2019-09-30,14,14,14,25,25,25,97,97,97,48,48,48,9,9,9
2019-09-29,7,7,7,12,12,12,99,99,99,26,26,26,6,6,6
2019-09-28,10,10,10,15,15,15,99,99,99,43,43,43,4,4,4
2019-09-27,46,46,46,54,54,54,94,94,94,38,38,38,3,3,3
2019-09-26,36,36,36,47,47,47,104,104,104,41,41,41,3,3,3
2019-09-25,22,22,22,30,30,30,98,98,98,36,36,36,7,7,7
2019-09-24,22,22,22,26,26,26,92,92,92,61,61,61,5,5,5
2019-09-23,27,27,27,26,26,26,89,89,89,39,39,39,7,7,7
2019-09-22,17,17,17,28,28,28,94,94,94,29,29,29,3,3,3
2019-09-21,17,17,17,25,25,25,102,102,102,33,33,33,4,4,4
2019-09-20,12,12,12,22,22,22,94,94,94,31,31,31,3,3,3
2019-09-19,4,4,4,18,18,18,79,79,79,34,34,34,3,3,3
2019-09-18,24,24,24,21,21,21,122,122,122,37,37,37,5,5,5
2019-09-17,13,13,13,21,21,21,135,135,135,38,38,38,7,7,7
2019-09-16,28,28,28,36,36,36,160,160,160,52,52,52,20,20,20
2019-09-15,34,34,34,32,32,32,129,129,129,28,28,28,7,7,7
2019-09-14,34,34,34,35,35,35,137,137,137,40,40,40,10,10,10
2019-09-13,30,30,30,36,36,36,144,144,144,41,41,41,4,4,4
2019-09-12,28,28,28,21,21,21,150,150,150,54,54,54,14,14,14
2019-09-11,16,16,16,9,9,9,124,124,124,47,47,47,6,6,6
2019-09-10,18,18,18,15,15,15,81,81,81,47,47,47,3,3,3
2019-09-09,15,15,15,16,16,16,91,91,91,32,32,32,57,57,57
2019-09-08,9,9,9,7,7,7,99,99,99,26,26,26,2,2,2
2019-09-07,15,15,15,10,10,10,98,98,98,35,35,35,19,19,19
2019-09-06,12,12,12,2,2,2,67,67,67,32,32,32,3,3,3
2019-09-05,30,30,30,27,27,27,134,134,134,40,40,40,8,8,8
2019-09-04,23,23,23,15,15,15,129,129,129,31,31,31,4,4,4
2019-09-03,11,11,11,7,7,7,111,111,111,36,36,36,3,3,3
2019-09-02,15,15,15,8,8,8,135,135,135,27,27,27,3,3,3
2019-09-01,25,25,25,26,26,26,147,147,147,39,39,39,3,3,3
2019-08-31,16,16,16,26,26,26,160,160,160,30,30,30,4,4,4
2019-08-30,31,31,31,29,29,29,169,169,169,34,34,34,44,44,44
2019-08-29,33,33,33,13,13,13,125,125,125,54,54,54,5,5,5
2019-08-28,"-","-","-",31,31,31,90,90,90,34,34,34,6,6,6
2019-08-27,29,29,29,32,32,32,157,157,157,28,28,28,4,4,4
2019-08-26,27,27,27,23,23,23,153,153,153,30,30,30,4,4,4
2019-08-25,27,27,27,24,24,24,134,134,134,20,20,20,3,3,3
2019-08-24,34,34,34,28,28,28,125,125,125,34,34,34,3,3,3
2019-08-23,24,24,24,22,22,22,98,98,98,31,31,31,4,4,4
2019-08-22,24,24,24,21,21,21,132,132,132,24,24,24,3,3,3
2019-08-21,15,15,15,17,17,17,142,142,142,18,18,18,4,4,4
2019-08-20,20,20,20,24,24,24,138,138,138,27,27,27,6,6,6
2019-08-19,12,12,12,"-","-","-",129,129,129,26,26,26,5,5,5
2019-08-18,19,19,19,4,4,4,125,125,125,22,22,22,6,6,6
2019-08-17,22,22,22,16,16,16,129,129,129,28,28,28,3,3,3
2019-08-16,4,4,4,6,6,6,122,122,122,20,20,20,3,3,3
2019-08-15,12,12,12,15,15,15,122,122,122,22,22,22,4,4,4
2019-08-14,2,2,2,7,7,7,108,108,108,27,27,27,3,3,3
2019-08-13,5,5,5,9,9,9,108,108,108,35,35,35,3,3,3
2019-08-12,27,27,27,28,28,28,112,112,112,27,27,27,3,3,3
2019-08-11,24,24,24,19,19,19,135,135,135,18,18,18,6,6,6
2019-08-10,19,19,19,23,23,23,130,130,130,19,19,19,3,3,3
2019-08-09,26,26,26,38,38,38,131,131,131,31,31,31,2,2,2
2019-08-08,14,14,14,22,22,22,129,129,129,23,23,23,3,3,3
2019-08-07,6,6,6,13,13,13,133,133,133,22,22,22,3,3,3
2019-08-06,19,19,19,16,16,16,145,145,145,18,18,18,3,3,3
2019-08-05,18,18,18,28,28,28,66,66,66,28,28,28,3,3,3
2019-08-04,17,17,17,19,19,19,154,154,154,33,33,33,3,3,3
2019-08-03,22,22,22,17,17,17,135,135,135,36,36,36,4,4,4
2019-08-02,15,15,15,20,20,20,129,129,129,46,46,46,12,12,12
2019-08-01,15,15,15,24,24,24,150,150,150,28,28,28,11,11,11
2019-07-31,22,22,22,17,17,17,135,135,135,32,32,32,8,8,8
2019-07-30,13,13,13,16,16,16,144,144,144,28,28,28,20,20,20
2019-07-29,6,6,6,8,8,8,128,128,128,22,22,22,55,55,55
2019-07-28,10,10,10,6,6,6,122,122,122,30,30,30,14,14,14
2019-07-27,17,17,17,22,22,22,123,123,123,24,24,24,9,9,9
2019-07-26,26,26,26,25,25,25,178,178,178,35,35,35,11,11,11
2019-07-25,33,33,33,38,38,38,196,196,196,31,31,31,9,9,9
