#Data for Autostrada Sud km 103, BrennerLEC, Bolzano Alto Adige from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 46.4736128, longitude 11.3262304
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Qualità dell’aria | Agenzia provinciale per l'ambiente | Provincia autonoma di Bolzano - Alto Adige  http://umwelt.provinz.bz.it/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,so2,so2_min,so2_max
2019-11-11,8,8,8,10,10,10,1,1,1,27,27,27
2019-11-10,7,7,7,9,9,9,3,2,4,25,17,33
2019-11-09,9,9,9,10,10,10,2,2,2,29,23,35
2019-11-08,5,5,5,6,6,6,13,13,13,"-","-","-"
2019-11-07,9,9,9,11,11,11,1.5,1,2,32,32,32
2019-11-06,7,7,7,9,9,9,2,2,2,58,58,58
2019-11-05,6,6,6,9,9,9,1,1,1,60,60,60
2019-11-04,4,4,4,8,8,8,3,3,3,36,36,36
2019-11-03,9,9,9,14,14,14,1.5,1,2,43,26,60
2019-11-02,25,25,25,31,31,31,4,2,6,35.5,29,42
2019-11-01,18,18,18,24,24,24,2,1,3,43.5,32,55
2019-10-31,11,11,11,16,16,16,1,1,1,60,60,60
2019-10-30,14,14,14,19,19,19,2,2,2,30,30,30
2019-10-29,21,21,21,30,30,30,2,2,2,57,57,57
2019-10-28,14,14,14,21,21,21,1,1,1,33,33,33
2019-10-27,12,12,12,18,18,18,3,3,3,74,74,74
2019-10-26,14,14,14,21,21,21,2,2,2,58,58,58
2019-10-25,13,13,13,22,22,22,1.5,1,2,41.5,30,53
2019-10-24,13,13,13,22,22,22,2,2,2,49,49,49
2019-10-23,13,13,13,21,21,21,1,1,1,33,33,33
2019-10-22,10,10,10,18,18,18,4,1,7,41.5,32,51
2019-10-21,11,11,11,16,16,16,7,2,12,47.5,40,55
2019-10-20,9,9,9,13,13,13,2,2,2,27,27,27
2019-10-19,12,12,12,18,18,18,9,1,17,37,32,42
2019-10-18,15,15,15,23,23,23,7.5,2,13,49,34,64
2019-10-17,9,9,9,15,15,15,17.5,1,34,49,29,69
2019-10-16,3,3,3,6,6,6,29,29,29,34,34,34
2019-10-15,25,25,25,35,35,35,2.5,1,4,48.5,39,58
2019-10-14,20,20,20,28,28,28,40,40,40,59,59,59
2019-10-13,12,12,12,16,16,16,56,56,56,13,13,13
2019-10-12,10,10,10,13,13,13,16,1,31,31,31,31
2019-10-11,7,7,7,11,11,11,3,3,3,25,25,25
2019-10-10,5,5,5,8,8,8,3,3,3,22,22,22
2019-10-09,17,17,17,25,25,25,2,2,2,37,37,37
2019-10-08,7,7,7,11,11,11,2,2,2,32,32,32
2019-10-07,6,6,6,8,8,8,7,7,7,30,30,30
2019-10-06,5,5,5,8,8,8,29,17,41,43,28,58
2019-10-05,8,8,8,11,11,11,16.5,3,30,41.5,35,48
2019-10-04,7,7,7,9,9,9,46,46,46,48,48,48
2019-10-03,3,3,3,4,4,4,60.5,52,69,12.5,7,18
2019-10-02,8,8,8,16,16,16,36,36,36,23,23,23
2019-10-01,8,8,8,17,17,17,28.5,9,48,44,33,55
2019-09-28,"-","-","-","-","-","-",1,1,1,25,25,25
2019-09-27,13,13,13,16,16,16,"-","-","-","-","-","-"
2019-09-26,"-","-","-","-","-","-",7,7,7,24,24,24
2019-09-25,"-","-","-","-","-","-",39,39,39,39,39,39
2019-09-24,"-","-","-","-","-","-",13,13,13,27,27,27
2019-09-23,8,8,8,13,13,13,12.5,6,19,42,40,44
2019-09-22,11,11,11,15,15,15,29,29,29,35,35,35
2019-09-21,11,11,11,14,14,14,41,19,63,41.5,41,42
2019-09-20,7,7,7,12,12,12,41,41,41,25,25,25
2019-09-19,8,8,8,12,12,12,51,51,51,39.5,24,55
2019-09-18,13,13,13,18,18,18,59,59,59,"-","-","-"
2019-09-17,23,23,23,31,31,31,51,25,77,45.5,39,52
2019-09-16,19,19,19,25,25,25,35,17,53,48.5,43,54
2019-09-15,18,18,18,24,24,24,45.5,28,63,62.5,56,69
2019-09-14,17,17,17,21,21,21,20,20,20,52,52,52
2019-09-13,12,12,12,17,17,17,21.5,5,38,58,50,66
2019-09-12,10,10,10,15,15,15,58,58,58,35,35,35
2019-09-11,9,9,9,13,13,13,31,31,31,62,62,62
2019-09-10,6,6,6,11,11,11,"-","-","-","-","-","-"
2019-09-09,2,2,2,6,6,6,23.5,2,45,32,31,33
2019-09-08,3,3,3,5,5,5,21.5,14,29,43.5,27,60
2019-09-07,5,5,5,7,7,7,11.5,1,22,30.5,28,33
2019-09-06,5,5,5,7,7,7,38,12,64,41,22,60
2019-09-05,9,9,9,14,14,14,41.5,41,42,55,46,64
2019-09-04,10,10,10,13,13,13,28,9,47,56.5,54,59
2019-09-03,3,3,3,6,6,6,37.5,27,48,33,24,42
2019-09-02,7,7,7,10,10,10,28,15,41,38.5,33,44
2019-09-01,14,14,14,18,18,18,26,11,41,58.5,52,65
2019-08-31,10,10,10,18,18,18,34,34,34,57,57,57
2019-08-30,8,8,8,13,13,13,14.5,7,22,74,65,83
2019-08-29,17,17,17,22,22,22,15,15,15,63,63,63
2019-08-28,22,22,22,28,28,28,27,27,27,59,59,59
2019-08-27,15,15,15,19,19,19,54,11,97,45,44,46
2019-08-26,11,11,11,15,15,15,"-","-","-","-","-","-"
2019-08-25,12,12,12,15,15,15,21.5,13,30,45.5,42,49
2019-08-24,11,11,11,14,14,14,25,13,37,42.5,39,46
2019-08-23,15,15,15,19,19,19,"-","-","-","-","-","-"
2019-08-22,11,11,11,14,14,14,14.5,11,18,56.5,44,69
2019-08-21,6,6,6,10,10,10,17,17,17,44,44,44
2019-08-20,12,12,12,15,15,15,15,12,18,46,45,47
2019-08-19,13,13,13,16,16,16,23.5,21,26,60,48,72
2019-08-18,14,14,14,19,19,19,52.5,12,93,62.5,55,70
2019-08-17,10,10,10,13,13,13,33,12,54,65,63,67
2019-08-16,5,5,5,8,8,8,32.5,11,54,58.5,41,76
2019-08-15,8,8,8,11,11,11,38,12,64,62,56,68
2019-08-14,4,4,4,5,5,5,49,27,71,58,57,59
2019-08-13,4,4,4,7,7,7,35,25,45,42,41,43
2019-08-12,15,15,15,21,21,21,35.5,20,51,53.5,38,69
2019-08-11,19,19,19,26,26,26,"-","-","-","-","-","-"
2019-08-10,20,20,20,27,27,27,9,9,9,65,65,65
2019-08-09,16,16,16,21,21,21,49.5,2,97,62,53,71
2019-08-08,"-","-","-","-","-","-",59,59,59,71,71,71
2019-08-07,"-","-","-","-","-","-",11,11,11,48,48,48
2019-08-06,15,15,15,18,18,18,33.5,5,62,51,38,64
2019-08-05,14,14,14,20,20,20,60,7,113,63,52,74
2019-08-04,10,10,10,13,13,13,83,83,83,84,84,84
2019-08-03,8,8,8,11,11,11,35,7,63,40,37,43
2019-08-02,10,10,10,14,14,14,"-","-","-","-","-","-"
2019-08-01,14,14,14,19,19,19,70.5,2,139,32,25,39
2019-07-31,10,10,10,15,15,15,40,4,76,30.5,15,46
2019-07-30,11,11,11,16,16,16,2,2,2,62,62,62
2019-07-29,5,5,5,8,8,8,32,2,62,54,40,68
2019-07-28,15,15,15,17,17,17,25,18,32,38.5,29,48
2019-07-27,11,11,11,15,15,15,87,87,87,44,44,44
2019-07-26,10,10,10,14,14,14,33.5,3,64,53,47,59
2019-07-25,25,25,25,33,33,33,59,10,108,100,84,116
2019-07-24,27,27,27,35,35,35,63,22,104,91.5,90,93
2019-07-23,23,23,23,28,28,28,106,106,106,87,87,87
2019-07-22,18,18,18,23,23,23,45,4,86,73,56,90
2019-07-21,14,14,14,18,18,18,61,47,75,59,46,72
2019-07-20,20,20,20,25,25,25,89.5,32,147,47,27,67
2019-07-19,15,15,15,19,19,19,45.5,5,86,71.5,56,87
2019-07-18,10,10,10,13,13,13,47.5,8,87,49.5,43,56
2019-07-17,15,15,15,19,19,19,60,7,113,67.5,60,75
2019-07-16,8,8,8,11,11,11,81,81,81,61,61,61
2019-07-15,5,5,5,8,8,8,45,45,45,62,62,62
2019-07-14,4,4,4,8,8,8,21,21,21,44,44,44
2019-07-13,4,4,4,6,6,6,51.5,13,90,27.5,21,34
2019-07-12,9,9,9,12,12,12,41.5,17,66,29.5,26,33
2019-07-11,16,16,16,22,22,22,50,24,76,56,50,62
2019-07-10,10,10,10,13,13,13,52,14,90,47,45,49
2019-07-09,12,12,12,15,15,15,56.5,9,104,47.5,39,56
2019-07-08,9,9,9,12,12,12,121,121,121,14,14,14
2019-07-06,"-","-","-","-","-","-",29,29,29,76,76,76
2019-07-05,15,15,15,21,21,21,55.5,13,98,57.5,54,61
2019-07-04,8,8,8,12,12,12,"-","-","-","-","-","-"
2019-07-03,10,10,10,17,17,17,33,16,50,45,43,47
2019-07-02,10,10,10,14,14,14,56,14,98,27.5,21,34
2019-07-01,20,20,20,26,26,26,152,152,152,57,57,57
2019-06-30,20,20,20,28,28,28,66,66,66,65,65,65
2019-06-29,16,16,16,23,23,23,83.5,33,134,59,38,80
2019-06-28,21,21,21,34,34,34,65.5,9,122,64,62,66
2019-06-27,25,25,25,36,36,36,74.5,39,110,77.5,70,85
2019-06-26,26,26,26,34,34,34,127,127,127,60,60,60
2019-06-25,20,20,20,26,26,26,92,65,119,56.5,50,63
2019-06-24,12,12,12,17,17,17,84,84,84,55,55,55
2019-06-23,5,5,5,9,9,9,46.5,4,89,24,15,33
2019-06-22,9,9,9,13,13,13,44,44,44,35,35,35
2019-06-21,12,12,12,18,18,18,44,44,44,43,43,43
2019-06-20,10,10,10,20,20,20,91,91,91,73,73,73
2019-06-19,14,14,14,22,22,22,75,34,116,49.5,49,50
2019-06-18,14,14,14,21,21,21,64,64,64,27,27,27
2019-06-17,8,8,8,14,14,14,62.5,58,67,35.5,22,49
2019-06-16,13,13,13,24,24,24,89.5,67,112,37.5,33,42
2019-06-15,16,16,16,31,31,31,92.5,80,105,39.5,35,44
2019-06-14,10,10,10,16,16,16,65,46,84,74,58,90
2019-06-13,12,12,12,23,23,23,23,23,23,36,36,36
2019-06-12,13,13,13,37,37,37,47,47,47,21,21,21
2019-06-09,"-","-","-","-","-","-",91,86,96,39,38,40
2019-06-08,10,10,10,21,21,21,86,86,86,60,60,60
2019-06-07,"-","-","-","-","-","-",83,83,83,43,43,43
2019-06-06,18,18,18,24,24,24,90,81,99,29,29,29
2019-06-05,19,19,19,25,25,25,"-","-","-","-","-","-"
2019-06-04,15,15,15,21,21,21,75.5,71,80,41,31,51
2019-06-02,10,10,10,13,13,13,55.5,51,60,54.5,38,71
2019-06-01,7,7,7,10,10,10,31.5,10,53,53.5,41,66
2019-05-31,6,6,6,9,9,9,11,11,11,62,62,62
2019-05-30,4,4,4,7,7,7,"-","-","-","-","-","-"
2019-05-29,1,1,1,2,2,2,36.5,26,47,55.5,48,63
2019-05-28,3,3,3,7,7,7,24,20,28,34,28,40
2019-05-27,11,11,11,16,16,16,18,18,18,25,25,25
2019-05-26,6,6,6,11,11,11,56.5,44,69,26,25,27
2019-05-25,10,10,10,14,14,14,49,42,56,42.5,34,51
2019-05-24,13,13,13,17,17,17,80,66,94,53.5,48,59
2019-05-23,7,7,7,11,11,11,83.5,83,84,27,14,40
2019-05-22,4,4,4,9,9,9,23.5,21,26,41,30,52
2019-05-21,4,4,4,7,7,7,17,3,31,36,29,43
2019-05-20,5,5,5,11,11,11,24,24,24,50,50,50
2019-05-19,4,4,4,5,5,5,"-","-","-","-","-","-"
2019-05-18,10,10,10,13,13,13,24,24,24,44,44,44
2019-05-17,8,8,8,10,10,10,40,40,40,49,49,49
2019-05-16,10,10,10,14,14,14,60.5,41,80,42.5,34,51
2019-05-15,4,4,4,5,5,5,45.5,45,46,51,43,59
2019-05-14,4,4,4,7,7,7,98,98,98,16,16,16
2019-05-13,"-","-","-","-","-","-",66,59,73,33.5,24,43
2019-05-10,"-","-","-","-","-","-",19,19,19,46,46,46
2019-05-09,6,6,6,8,8,8,31,31,31,54,54,54
2019-05-08,13,13,13,17,17,17,10,10,10,63,63,63
2019-05-07,11,11,11,15,15,15,49,35,63,68.5,66,71
2019-05-06,"-","-","-","-","-","-",84,84,84,27,27,27
2019-05-04,4,4,4,5,5,5,31.5,29,34,36,32,40
2019-05-03,5,5,5,6,6,6,46,29,63,49.5,45,54
2019-05-02,10,10,10,14,14,14,56.5,23,90,61,50,72
2019-05-01,9,9,9,13,13,13,69,39,99,43.5,42,45
2019-04-30,4,4,4,8,8,8,50,13,87,42.5,28,57
2019-04-29,2,2,2,2,2,2,44.5,25,64,52.5,30,75
2019-04-28,2,2,2,1,1,1,59.5,52,67,39.5,35,44
2019-04-27,2,2,2,2,2,2,27,27,27,45,45,45
2019-04-26,7,7,7,11,11,11,5,5,5,44,44,44
2019-04-25,8,8,8,13,13,13,42,6,78,39.5,28,51
2019-04-24,9,9,9,19,19,19,37,8,66,50.5,42,59
2019-04-23,14,14,14,19,19,19,41.5,39,44,55.5,45,66
2019-04-22,13,13,13,15,15,15,49.5,17,82,68.5,68,69
2019-04-21,11,11,11,15,15,15,59.5,18,101,57,52,62
2019-04-20,11,11,11,13,13,13,39,5,73,66.5,54,79
2019-04-19,15,15,15,18,18,18,46.5,5,88,69,67,71
2019-04-18,17,17,17,22,22,22,44,3,85,73,71,75
2019-04-17,17,17,17,20,20,20,"-","-","-","-","-","-"
2019-04-16,13,13,13,17,17,17,37.5,3,72,77.5,69,86
2019-04-15,7,7,7,8,8,8,"-","-","-","-","-","-"
2019-04-14,8,8,8,9,9,9,34,34,34,65,65,65
2019-04-13,12,12,12,15,15,15,62,62,62,38,38,38
2019-04-12,11,11,11,15,15,15,30.5,2,59,50.5,47,54
2019-04-11,9,9,9,12,12,12,21.5,5,38,45.5,30,61
2019-04-10,9,9,9,12,12,12,28.5,5,52,43,40,46
2019-04-09,11,11,11,14,14,14,25.5,3,48,40.5,39,42
2019-04-08,9,9,9,12,12,12,6,6,6,61,61,61
2019-04-07,9,9,9,9,9,9,42,20,64,49,39,59
2019-04-06,12,12,12,16,16,16,37,8,66,40.5,38,43
2019-04-05,5,5,5,6,6,6,47.5,38,57,49,27,71
2019-04-04,7,7,7,8,8,8,36.5,24,49,64.5,51,78
2019-04-03,14,14,14,18,18,18,71,71,71,57,57,57
2019-04-02,17,17,17,25,25,25,39.5,5,74,80,79,81
2019-04-01,12,12,12,17,17,17,52.5,7,98,64.5,46,83
2019-03-31,16,16,16,22,22,22,55,17,93,60,52,68
2019-03-30,14,14,14,21,21,21,47.5,5,90,57.5,46,69
2019-03-29,12,12,12,19,19,19,44.5,7,82,48.5,39,58
2019-03-28,15,15,15,24,24,24,33,1,65,73,50,96
2019-03-27,7,7,7,12,12,12,87,87,87,29,29,29
2019-03-26,1,1,1,2,2,2,95,87,103,7.5,4,11
2019-03-25,8,8,8,10,10,10,23,23,23,51,51,51
2019-03-24,15,15,15,20,20,20,47.5,13,82,55,53,57
2019-03-23,11,11,11,15,15,15,37.5,4,71,55,49,61
2019-03-22,11,11,11,17,17,17,37.5,4,71,49,35,63
2019-03-21,13,13,13,17,17,17,76,76,76,33,33,33
2019-03-20,10,10,10,9,9,9,61.5,49,74,40,39,41
2019-03-19,3,3,3,3,3,3,72,46,98,19.5,6,33
2019-03-18,1,1,1,4,4,4,90,86,94,7.5,7,8
2019-03-17,25,25,25,32,32,32,37,5,69,48.5,47,50
2019-03-16,11,11,11,16,16,16,15.5,2,29,48,44,52
2019-03-15,5,5,5,8,8,8,58,58,58,44,44,44
2019-03-14,10,10,10,16,16,16,62,62,62,39,39,39
2019-03-13,10,10,10,15,15,15,33.5,15,52,41,37,45
2019-03-12,3,3,3,7,7,7,45.5,31,60,48,43,53
2019-03-10,"-","-","-","-","-","-",3,3,3,54,54,54
2019-03-09,15,15,15,22,22,22,6,6,6,51,51,51
2019-03-08,18,18,18,23,23,23,51,51,51,45,45,45
2019-03-07,22,22,22,30,30,30,"-","-","-","-","-","-"
2019-03-06,15,15,15,23,23,23,10,10,10,56,56,56
2019-03-05,8,8,8,12,12,12,40,13,67,30.5,25,36
2019-03-04,23,23,23,31,31,31,37.5,7,68,56.5,40,73
2019-03-03,15,15,15,22,22,22,11,11,11,63,63,63
2019-03-02,4,4,4,9,9,9,"-","-","-","-","-","-"
2019-03-01,20,20,20,28,28,28,"-","-","-","-","-","-"
