#Data for Varese Copelli, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.8169745, longitude 8.82024911
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2019-11-13,10,10,10,11,11,11,85,85,85,0.6,0.6,0.6
2019-11-12,8,8,8,8,8,8,48,48,48,0.6,0.6,0.6
2019-11-11,11,11,11,12,12,12,47,47,47,0.5,0.5,0.5
2019-11-10,8,8,8,11,11,11,50,50,50,0.6,0.6,0.6
2019-11-09,9,9,9,11,11,11,65,65,65,0.7,0.7,0.7
2019-11-08,6,6,6,8,8,8,52,52,52,0.5,0.5,0.5
2019-11-07,"-","-","-","-","-","-",43,43,43,0.6,0.6,0.6
2019-11-06,"-","-","-","-","-","-",52,52,52,0.6,0.6,0.6
2019-11-05,6,6,6,12,12,12,47,47,47,0.8,0.8,0.8
2019-11-04,10,10,10,15,15,15,55,55,55,0.8,0.8,0.8
2019-11-03,9,9,9,10,10,10,27,27,27,0.6,0.6,0.6
2019-11-02,35,35,35,39,39,39,39,39,39,0.5,0.5,0.5
2019-11-01,21,21,21,28,28,28,37,37,37,0.5,0.5,0.5
2019-10-31,23,23,23,24,24,24,47,47,47,0.4,0.4,0.4
2019-10-30,30,30,30,35,35,35,43,43,43,0.6,0.6,0.6
2019-10-29,37,37,37,47,47,47,59,59,59,0.6,0.6,0.6
2019-10-28,28,28,28,40,40,40,56,56,56,0.6,0.6,0.6
2019-10-27,13,13,13,17,17,17,57,57,57,0.7,0.7,0.7
2019-10-26,12,12,12,20,20,20,69,69,69,0.6,0.6,0.6
2019-10-25,12,12,12,19,19,19,47,47,47,0.7,0.7,0.7
2019-10-24,16,16,16,27,27,27,41,41,41,0.7,0.7,0.7
2019-10-23,15,15,15,26,26,26,49,49,49,0.7,0.7,0.7
2019-10-22,16,16,16,19,19,19,38,38,38,0.5,0.5,0.5
2019-10-21,11,11,11,16,16,16,55,55,55,0.5,0.5,0.5
2019-10-20,15,15,15,22,22,22,41,41,41,0.4,0.4,0.4
2019-10-19,17,17,17,19,19,19,50,50,50,0.5,0.5,0.5
2019-10-18,19,19,19,26,26,26,52,52,52,0.5,0.5,0.5
2019-10-17,8,8,8,16,16,16,54,54,54,0.5,0.5,0.5
2019-10-16,3,3,3,7,7,7,56,56,56,0.4,0.4,0.4
2019-10-15,26,26,26,32,32,32,46,46,46,0.5,0.5,0.5
2019-10-14,15,15,15,21,21,21,55,55,55,0.5,0.5,0.5
2019-10-13,21,21,21,25,25,25,60,60,60,0.4,0.4,0.4
2019-10-12,20,20,20,25,25,25,58,58,58,0.4,0.4,0.4
2019-10-11,17,17,17,23,23,23,58,58,58,0.4,0.4,0.4
2019-10-10,11,11,11,15,15,15,47,47,47,0.4,0.4,0.4
2019-10-09,25,25,25,28,28,28,52,52,52,0.5,0.5,0.5
2019-10-08,14,14,14,24,24,24,53,53,53,0.4,0.4,0.4
2019-10-07,10,10,10,11,11,11,65,65,65,0.4,0.4,0.4
2019-10-06,28,28,28,35,35,35,39,39,39,0.3,0.3,0.3
2019-10-05,14,14,14,18,18,18,65,65,65,0.4,0.4,0.4
2019-10-04,"-","-","-","-","-","-",58,58,58,0.3,0.3,0.3
