#Data for Autostrada Sud km 107, BrennerLEC, Bolzano Alto Adige from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 46.4736128, longitude 11.3262304
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Qualità dell’aria | Agenzia provinciale per l'ambiente | Provincia autonoma di Bolzano - Alto Adige  http://umwelt.provinz.bz.it/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,so2,so2_min,so2_max
2019-11-10,7,7,7,9,9,9,3,2,4,46.5,27,66
2019-11-09,8,8,8,10,10,10,3,3,3,46,39,53
2019-11-08,5,5,5,6,6,6,5,5,5,41,41,41
2019-11-07,9,9,9,12,12,12,5,3,7,35,35,35
2019-11-06,7,7,7,8,8,8,7.5,3,12,55.5,51,60
2019-11-05,6,6,6,7,7,7,8.5,7,10,40,27,53
2019-11-04,6,6,6,8,8,8,4,3,5,54,47,61
2019-11-03,8,8,8,10,10,10,2,2,2,32,28,36
2019-11-02,22,22,22,28,28,28,2,2,2,34,34,34
2019-11-01,15,15,15,22,22,22,"-","-","-","-","-","-"
2019-10-31,12,12,12,17,17,17,8,8,8,56,56,56
2019-10-30,13,13,13,17,17,17,15.5,10,21,34,31,37
2019-10-29,22,22,22,30,30,30,3.5,2,5,49.5,29,70
2019-10-28,14,14,14,23,23,23,2,2,2,61,61,61
2019-10-27,11,11,11,17,17,17,2,2,2,83,83,83
2019-10-26,14,14,14,21,21,21,2.5,2,3,49.5,34,65
2019-10-25,13,13,13,20,20,20,6,6,6,37,37,37
2019-10-24,13,13,13,23,23,23,4.5,3,6,38.5,32,45
2019-10-23,13,13,13,21,21,21,6,3,9,44.5,29,60
2019-10-22,10,10,10,18,18,18,3.5,3,4,48.5,33,64
2019-10-21,11,11,11,15,15,15,8,8,8,69,69,69
2019-10-20,9,9,9,12,12,12,34.5,8,61,25.5,21,30
2019-10-19,10,10,10,14,14,14,5,5,5,41,41,41
2019-10-18,15,15,15,23,23,23,16,16,16,75,75,75
2019-10-17,10,10,10,20,20,20,2,2,2,29,29,29
2019-10-16,3,3,3,6,6,6,26.5,22,31,38,27,49
2019-10-15,25,25,25,34,34,34,3.5,3,4,56.5,45,68
2019-10-14,22,22,22,32,32,32,22,2,42,45.5,37,54
2019-10-13,12,12,12,17,17,17,17,2,32,36,30,42
2019-10-12,10,10,10,16,16,16,11.5,8,15,40.5,28,53
2019-10-11,7,7,7,12,12,12,2,2,2,31,31,31
2019-10-10,6,6,6,8,8,8,34,34,34,14,14,14
2019-10-09,18,18,18,24,24,24,6,6,6,27,27,27
2019-10-08,8,8,8,14,14,14,20,4,36,39.5,33,46
2019-10-07,7,7,7,10,10,10,27,16,38,37,20,54
2019-10-06,5,5,5,9,9,9,28,14,42,41.5,24,59
2019-10-05,8,8,8,11,11,11,27,27,27,52,52,52
2019-10-04,6,6,6,12,12,12,23.5,5,42,40.5,32,49
2019-10-03,3,3,3,5,5,5,54.5,50,59,25,9,41
2019-10-02,9,9,9,13,13,13,44,40,48,24.5,22,27
2019-10-01,12,12,12,20,20,20,35,9,61,33,27,39
2019-09-30,"-","-","-","-","-","-",55.5,55,56,40,21,59
2019-09-29,13,13,13,17,17,17,40,25,55,36,23,49
2019-09-28,16,16,16,23,23,23,30,2,58,34,29,39
2019-09-27,11,11,11,18,18,18,6,4,8,35,19,51
2019-09-26,5,5,5,10,10,10,17,7,27,31.5,28,35
2019-09-25,7,7,7,11,11,11,5,5,5,33,33,33
2019-09-24,5,5,5,10,10,10,24.5,11,38,31,25,37
2019-09-23,9,9,9,14,14,14,10,10,10,48,48,48
2019-09-22,10,10,10,16,16,16,32,32,32,28,28,28
2019-09-21,10,10,10,17,17,17,52,44,60,32.5,23,42
2019-09-20,7,7,7,14,14,14,66,66,66,15,15,15
2019-09-19,9,9,9,15,15,15,59.5,56,63,27.5,12,43
2019-09-18,13,13,13,20,20,20,49,40,58,44,36,52
2019-09-17,22,22,22,33,33,33,47,21,73,49,44,54
2019-09-16,21,21,21,29,29,29,18,18,18,58,58,58
2019-09-15,19,19,19,25,25,25,51,41,61,56,45,67
2019-09-14,17,17,17,24,24,24,7,7,7,55,55,55
2019-09-13,13,13,13,22,22,22,25,11,39,55.5,48,63
2019-09-12,10,10,10,19,19,19,37,37,37,58,58,58
2019-09-11,9,9,9,15,15,15,9,9,9,41,41,41
2019-09-10,7,7,7,12,12,12,29,10,48,39,34,44
2019-09-09,4,4,4,7,7,7,4,4,4,29,29,29
2019-09-08,2,2,2,5,5,5,48,48,48,16,16,16
2019-09-07,4,4,4,8,8,8,14.5,3,26,22.5,11,34
2019-09-06,4,4,4,7,7,7,64,64,64,17,17,17
2019-09-05,10,10,10,16,16,16,50.5,43,58,50,38,62
2019-09-04,10,10,10,15,15,15,11,11,11,60,60,60
2019-09-03,4,4,4,8,8,8,56,56,56,29,29,29
2019-09-02,7,7,7,9,9,9,27.5,7,48,42.5,14,71
2019-09-01,14,14,14,19,19,19,21.5,3,40,48,47,49
2019-08-31,13,13,13,20,20,20,44,44,44,56,56,56
2019-08-30,10,10,10,15,15,15,12,12,12,79,79,79
2019-08-29,16,16,16,21,21,21,27,24,30,43.5,39,48
2019-08-28,23,23,23,31,31,31,"-","-","-","-","-","-"
2019-08-27,15,15,15,22,22,22,12,12,12,41,41,41
2019-08-26,10,10,10,15,15,15,36.5,13,60,40.5,32,49
2019-08-25,11,11,11,16,16,16,11,11,11,54,54,54
2019-08-24,11,11,11,16,16,16,13,13,13,26,26,26
2019-08-23,14,14,14,20,20,20,8.5,7,10,51.5,45,58
2019-08-22,10,10,10,15,15,15,14.5,13,16,66,58,74
2019-08-21,7,7,7,10,10,10,13,13,13,51,51,51
2019-08-20,10,10,10,16,16,16,13.5,7,20,45,40,50
2019-08-19,14,14,14,17,17,17,22.5,17,28,62,58,66
2019-08-18,13,13,13,19,19,19,50,12,88,66,63,69
2019-08-17,11,11,11,13,13,13,80,80,80,51,51,51
2019-08-16,6,6,6,8,8,8,31.5,5,58,59,52,66
2019-08-15,7,7,7,10,10,10,44.5,17,72,41,36,46
2019-08-14,3,3,3,9,9,9,46.5,22,71,53.5,50,57
2019-08-13,4,4,4,7,7,7,38.5,27,50,30,27,33
2019-08-12,14,14,14,22,22,22,36,18,54,47,28,66
2019-08-11,19,19,19,24,24,24,7,7,7,68,68,68
2019-08-10,20,20,20,26,26,26,47.5,14,81,68,68,68
2019-08-09,15,15,15,23,23,23,9,9,9,50,50,50
2019-08-08,11,11,11,16,16,16,36,12,60,40,20,60
2019-08-07,9,9,9,12,12,12,11,11,11,47,47,47
2019-08-06,16,16,16,20,20,20,23.5,4,43,71,62,80
2019-08-05,15,15,15,21,21,21,54.5,4,105,66,55,77
2019-08-04,10,10,10,13,13,13,53.5,5,102,56.5,50,63
2019-08-03,7,7,7,14,14,14,68,68,68,67,67,67
2019-08-02,"-","-","-","-","-","-",37,26,48,60.5,35,86
2019-08-01,14,14,14,23,23,23,74.5,3,146,32.5,9,56
2019-07-31,11,11,11,14,14,14,11,11,11,41,41,41
2019-07-30,12,12,12,18,18,18,72.5,3,142,34,18,50
2019-07-29,6,6,6,8,8,8,35,2,68,52,51,53
2019-07-28,12,12,12,16,16,16,32,32,32,44,44,44
2019-07-27,12,12,12,15,15,15,100,100,100,20,20,20
2019-07-26,10,10,10,14,14,14,24.5,3,46,59.5,47,72
2019-07-25,24,24,24,32,32,32,55.5,7,104,101,96,106
2019-07-24,29,29,29,37,37,37,55,3,107,87.5,77,98
2019-07-23,23,23,23,32,32,32,80,8,152,47.5,16,79
2019-07-22,18,18,18,25,25,25,47.5,9,86,64,47,81
2019-07-21,14,14,14,17,17,17,68.5,51,86,40.5,33,48
2019-07-20,19,19,19,25,25,25,91,22,160,44,6,82
2019-07-19,15,15,15,21,21,21,84,84,84,78,78,78
2019-07-18,10,10,10,13,13,13,43,21,65,58,40,76
2019-07-17,14,14,14,17,17,17,109,109,109,73,73,73
2019-07-16,8,8,8,14,14,14,47.5,6,89,35.5,32,39
2019-07-15,7,7,7,8,8,8,51,51,51,51,51,51
2019-07-14,5,5,5,7,7,7,61,26,96,31,13,49
2019-07-13,4,4,4,6,6,6,43,8,78,36.5,34,39
2019-07-12,9,9,9,11,11,11,43.5,29,58,27.5,20,35
2019-07-11,16,16,16,21,21,21,43.5,20,67,65,62,68
2019-07-10,10,10,10,13,13,13,49,13,85,44,42,46
2019-07-09,12,12,12,16,16,16,66,7,125,29,17,41
2019-07-08,9,9,9,13,13,13,98,98,98,29,29,29
2019-07-07,8,8,8,12,12,12,44.5,11,78,40.5,29,52
2019-07-06,17,17,17,22,22,22,"-","-","-","-","-","-"
2019-07-05,17,17,17,24,24,24,85,85,85,76,76,76
2019-07-04,9,9,9,15,15,15,50.5,20,81,39.5,21,58
2019-07-03,10,10,10,15,15,15,38,25,51,45,41,49
2019-07-02,9,9,9,14,14,14,21,21,21,30,30,30
2019-07-01,20,20,20,26,26,26,137,104,170,17.5,15,20
2019-06-30,20,20,20,30,30,30,145,145,145,14,14,14
2019-06-29,15,15,15,23,23,23,76.5,33,120,58.5,39,78
2019-06-28,22,22,22,35,35,35,126,126,126,32,32,32
2019-06-27,24,24,24,38,38,38,85.5,51,120,55,47,63
2019-06-26,25,25,25,33,33,33,85,85,85,38,38,38
2019-06-25,20,20,20,27,27,27,98,98,98,29,29,29
2019-06-24,12,12,12,18,18,18,48.5,11,86,44.5,44,45
