#Data for Cornale , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.04008561, longitude 8.91415717
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,o3,o3_min,o3_max,no2,no2_min,no2_max,co,co_min,co_max
2019-08-18,21,21,21,109,109,109,14,14,14,0.9,0.9,0.9
2019-08-17,43,43,43,136,136,136,18,18,18,0.9,0.9,0.9
2019-08-16,47,47,47,119,119,119,12,12,12,0.9,0.9,0.9
2019-08-15,26,26,26,126,126,126,14,14,14,1,1,1
2019-08-14,10,10,10,104,104,104,13,13,13,0.9,0.9,0.9
2019-08-12,12,12,12,114,114,114,20,20,20,0.3,0.3,0.3
2019-08-11,13,13,13,128,128,128,13,13,13,0.1,0.1,0.1
2019-08-10,11,11,11,122,122,122,10,10,10,0.2,0.2,0.2
2019-08-09,13,13,13,141,141,141,20,20,20,0.2,0.2,0.2
2019-08-08,13,13,13,152,152,152,14,14,14,0.2,0.2,0.2
2019-08-07,11,11,11,124,124,124,14,14,14,0.2,0.2,0.2
2019-08-06,11,11,11,131,131,131,26,26,26,0.2,0.2,0.2
2019-08-05,10,10,10,175,175,175,32,32,32,0.2,0.2,0.2
2019-08-04,10,10,10,147,147,147,28,28,28,0.2,0.2,0.2
2019-08-03,8,8,8,129,129,129,51,51,51,0.2,0.2,0.2
2019-08-02,7,7,7,124,124,124,59,59,59,0.2,0.2,0.2
2019-08-01,11,11,11,141,141,141,43,43,43,0.2,0.2,0.2
2019-07-31,11,11,11,122,122,122,34,34,34,0.2,0.2,0.2
2019-07-30,9,9,9,122,122,122,18,18,18,0.2,0.2,0.2
2019-07-29,6,6,6,116,116,116,16,16,16,0.2,0.2,0.2
2019-07-28,9,9,9,113,113,113,20,20,20,0.2,0.2,0.2
2019-07-27,8,8,8,112,112,112,21,21,21,0.2,0.2,0.2
2019-07-26,11,11,11,149,149,149,30,30,30,0.2,0.2,0.2
2019-07-25,17,17,17,196,196,196,40,40,40,0.3,0.3,0.3
2019-07-24,20,20,20,201,201,201,43,43,43,0.3,0.3,0.3
2019-07-23,19,19,19,188,188,188,54,54,54,0.3,0.3,0.3
2019-07-22,16,16,16,160,160,160,48,48,48,0.2,0.2,0.2
2019-07-21,12,12,12,137,137,137,36,36,36,0.2,0.2,0.2
2019-07-20,11,11,11,148,148,148,28,28,28,0.2,0.2,0.2
2019-07-19,19,19,19,167,167,167,36,36,36,0.2,0.2,0.2
2019-07-18,10,10,10,164,164,164,51,51,51,0.2,0.2,0.2
